Name	category	price	rating	review_count
TAP at MGM Grand Detroit	Pubs,American (New),Sports Bars	$$	2.5	125
Bucharest Grill	American (Traditional)	$	3.5	144
MotorBurger	Burgers	$$	4.0	79
The Garden Asian Vegetarian Cuisine	Vegetarian,Asian Fusion,Vegan	$$	4.5	26
Monroe Street Steakhouse	Steakhouses	$$$	3.5	23
Craft Heads Brewing Company	Breweries,Coffee & Tea,Pizza	$$	5.0	24
The Corner Tap Room	Sports Bars,American (New)	$$	4.0	4
Detroiter Bar	Dive Bars,Sports Bars,American (New)	$	3.5	71
Bellacino’s	Sandwiches,Salad,Pizza	$	4.5	9
Zef’s Midtown	American (Traditional),Breakfast & Brunch	$	4.5	47
Kresge Court at Detroit Institute of Arts	American (New)	$$	4.5	35
Los Galanes	Mexican	$$	3.5	193
The Whitney	American (New)	$$$	3.5	324
Red Corridor	Bars,Sandwiches	$$	3.5	41
Antojitos El Catracho	Latin American	$	5.0	13
Traffic Jam & Snug	American (Traditional),American (New),Bakeries	$$	3.0	390
The City Grill	American (Traditional)	$$$	3.5	27
Press Room	Cafes,Juice Bars & Smoothies,Pizza	$$	3.5	5
Vivio’s Food & Spirits	American (Traditional)	$$	3.5	114
F&B	Tapas/Small Plates,Seafood,Cocktail Bars	$$	5.0	13.0
Downtown Loius	Bars,American (New)			
PJ’s Lager House	Dive Bars,Music Venues,Vegetarian	$	4.0	104.0
Bookies Bar & Grille	Sports Bars,American (Traditional)	$$	3.0	88.0
Loco Bar & Grill	Mexican	$$	2.5	86.0
Mo Better Blues	Jazz & Blues,Soul Food	$	2.0	6.0
Tropical Hut Philippine Cuisine	Filipino	$	5.0	12.0
Le Petit Zinc	French,Coffee & Tea	$$	3.5	237.0
TJ’s Grillworks	Breakfast & Brunch,American (Traditional)	$	3.0	11.0
The Foundry Pub	Gastropubs	$$	4.0	18.0
Hockeytown Cafe	Sports Bars,American (New)	$$	2.5	159.0
Andrews On the Corner	American (New),Salad,Soup	$	4.0	58.0
Xochimilco Restaurant	Mexican	$	3.0	317.0
Evie’s Tamales	Mexican	$	4.0	91.0
Coaches Corner	Sports Bars,Chicken Wings,Pizza	$	3.0	5.0
Bert’s Marketplace	Barbeque,Soul Food,Jazz & Blues	$$	3.5	108.0
Nancy Whiskey	Pubs,Irish	$	4.0	58.0
Mac Shack	American (New),Food Trucks	$	4.0	84.0
Rice Bowl Fresh Asian Kitchen	Chinese,Asian Fusion,Thai	$$	3.0	23.0
Schnäck	German		4.0	2.0
Rattlesnake Club	Venues & Event Spaces,Seafood,Steakhouses	$$$	3.5	143.0
La Guardia	Italian	$$	4.0	16.0
Bai Mai Thai	Thai	$$	3.5	104.0
Palette Dining Studio	Buffets	$$	3.0	63.0
Slows To Go	Barbeque,Caterers,Food Trucks	$$	3.5	176.0
Greenroom Salads	Sandwiches,Vegetarian,Salad	$	4.0	31.0
Tamaleria Nuevo Leon	Mexican	$	4.5	29.0
Neros Steakhouse	Steakhouses,Seafood	$$$$	3.5	35.0
New Center Eatery	Southern,American (New),Breakfast & Brunch	$$	4.0	155.0
Stockyard	Food Trucks,Sandwiches	$	4.5	18.0
Ming Kitchen	Chinese,Seafood,Chicken Shop	$$	4.5	3.0
Freshii	Salad,Juice Bars & Smoothies,Soup	$$	3.0	24.0
Level Two Bar & Rooftop	Bars,Dance Clubs,American (Traditional)	$$	2.5	58.0
Rino’s Kitchen	Pubs,Canadian (New)	$$	4.0	15.0
Bookies Bar & Grille	Sports Bars,American (Traditional)	$$	3.0	88.0
Seva Detroit	Vegetarian,Vegan,Bars	$$	3.5	338.0
Crunch at Breeze	American (Traditional)	$	3.5	3.0
House of Pad Thai	Thai,Laotian	$$	4.5	15.0
Sheeba Express	Mediterranean,Juice Bars & Smoothies,Sandwiches	$	5.0	11.0
South Detroit	Bars,American (Traditional),Seafood	$$	3.5	17.0
Nathan’s Deli	Delis	$	4.0	14.0
On a Roll Sushi & Sliders	Sushi Bars,Cocktail Bars	$$	5.0	8.0
